sentence
Simplify 3(x + 2) + 2(2x - 5);3(x + 2) + 2(2x - 5) --> Distribute. 3x + 6 + 4x - 10 --> Combine like terms. 7x - 4
Simplify 2(3y - 5) - (4y + 7);2(3y - 5) - (4y + 7) --> Distribute. 6y - 10 - 4y - 7 --> Combine like terms. 2y - 17
Simplify 5(2a + 3b) + 3(4a - b);5(2a + 3b) + 3(4a - b) --> Distribute. 10a + 15b + 12a - 3b --> Combine like terms. 22a + 12b
Simplify 4(2x - 3y) - 2(5x + 2y);4(2x - 3y) - 2(5x + 2y) --> Distribute. 8x - 12y - 10x - 4y --> Combine like terms. -2x - 16y
Simplify 7(3a + 4b) + 2(5a - 2b);7(3a + 4b) + 2(5a - 2b) --> Distribute. 21a + 28b + 10a - 4b --> Combine like terms. 31a + 24b
Simplify 6(x - 4) + 3(2x + 5);6(x - 4) + 3(2x + 5) --> Distribute. 6x - 24 + 6x + 15 --> Combine like terms. 12x - 9
Simplify 3(2y + 7) - (4y - 6);3(2y + 7) - (4y - 6) --> Distribute. 6y + 21 - 4y + 6 --> Combine like terms. 2y + 27
Simplify 2(5x + 3y) + 4(2x - y);2(5x + 3y) + 4(2x - y) --> Distribute. 10x + 6y + 8x - 4y --> Combine like terms. 18x + 2y
Simplify 5(4a - 2b) - 3(3a + b);5(4a - 2b) - 3(3a + b) --> Distribute. 20a - 10b - 9a - 3b --> Combine like terms. 11a - 13b
Simplify 4(3x + 2y) + 2(5x - 3y);4(3x + 2y) + 2(5x - 3y) --> Distribute. 12x + 8y + 10x - 6y --> Combine like terms. 22x + 2y
Simplify 2(2a - 3b) - (5a + 4b);2(2a - 3b) - (5a + 4b) --> Distribute. 4a - 6b - 5a - 4b --> Combine like terms. -a - 10b
Simplify 3(5x + 4y) - 2(3x - 2y);3(5x + 4y) - 2(3x - 2y) --> Distribute. 15x + 12y - 6x + 4y --> Combine like terms. 9x + 16y
Simplify 4(4a + 3b) + 3(2a - b);4(4a + 3b) + 3(2a - b) --> Distribute. 16a + 12b + 6a - 3b --> Combine like terms. 22a + 9b
Simplify 2(3x - 5) + 3(4x + 2);2(3x - 5) + 3(4x + 2) --> Distribute. 6x - 10 + 12x + 6 --> Combine like terms. 18x - 4
Simplify 5(2y + 3) - (4y + 5);5(2y + 3) - (4y + 5) --> Distribute. 10y + 15 - 4y - 5 --> Combine like terms. 6y + 10
Simplify 3(2a - 4b) - 2(3a + 2b);3(2a - 4b) - 2(3a + 2b) --> Distribute. 6a - 12b - 6a - 4b --> Combine like terms. -16b
Simplify 2(3x + 5y) + 4(2x - 3y);2(3x + 5y) + 4(2x - 3y) --> Distribute. 6x + 10y + 8x - 12y --> Combine like terms. 14x - 2y
Simplify 5(4a + 2b) + 3(3a - b);5(4a + 2b) + 3(3a - b) --> Distribute. 20a + 10b + 9a - 3b --> Combine like terms. 29a + 7b
Simplify 4(2x - 3y) - (3x + 4y);4(2x - 3y) - (3x + 4y) --> Distribute. 8x - 12y - 3x - 4y --> Combine like terms. 5x - 16y
Simplify 3(3a + 2b) + 2(4a - b);3(3a + 2b) + 2(4a - b) --> Distribute. 9a + 6b + 8a - 2b --> Combine like terms. 17a + 4b
Simplify 2(5x - 4) - (3x + 2);2(5x - 4) - (3x + 2) --> Distribute. 10x - 8 - 3x - 2 --> Combine like terms. 7x - 10
Simplify 5(3y + 5) + 4(2y - 3);5(3y + 5) + 4(2y - 3) --> Distribute. 15y + 25 + 8y - 12 --> Combine like terms. 23y + 13
Simplify 3(4a + 3b) - 2(2a - b);3(4a + 3b) - 2(2a - b) --> Distribute. 12a + 9b - 4a + 2b --> Combine like terms. 8a + 11b
Simplify 4(2x + 3y) + 3(5x - 2y);4(2x + 3y) + 3(5x - 2y) --> Distribute. 8x + 12y + 15x - 6y --> Combine like terms. 23x + 6y
Simplify 2(3a - 5b) + 4(4a + 2b);2(3a - 5b) + 4(4a + 2b) --> Distribute. 6a - 10b + 16a + 8b --> Combine like terms. 22a - 2b
